published_at,title,description,source,url,ticker,date,market_date
2026-04-17 07:36:17+00:00,"How to watch Tigers vs. Boston Red Sox on Friday: TV channel, start time","The Tigers and Red Sox open a four-game series at Fenway Park on Friday night, and the game will be on a national broadcast.",The Detroit News,https://www.detroitnews.com/story/sports/mlb/tigers/2026/04/17/where-to-watch-detrtoit-tigers-vs-boston-red-sox-on-friday-tv-start-time/89655326007/,AAPL,2026-04-17,2026-04-17
2026-04-17 07:30:40+00:00,"[FIRST, Refurb] Apple MacBook Pro 14"" 2021 M1 Pro 16GB/512GB SSD $763 @ Aust. Computer Traders via Kogan","MacBook Pro 14"" with M1 Pro chip with 16GB RAM and 512GB storage. I joined Kogan FIRST Trial (and cancelled straight after) to get free delivery and extra 5% off using FIRST code, paying $763 in …",Ozbargain.com.au,https://www.ozbargain.com.au/node/955980,AAPL,2026-04-17,2026-04-17
2026-04-17 07:30:02+00:00,Forget the Fold: New Galaxy TriFold 2 Leak Reveals Samsung’s Wildest Design Yet,"Samsung continues to push the boundaries of smartphone technology, unveiling concepts that redefine what mobile devices can achieve. A recently uncovered patent hints at the company’s exploration of a triple-folding smartphone design, potentially named the Ga…",Geeky Gadgets,https://www.geeky-gadgets.com/samsung-galaxy-z-trifold-2-2/,AAPL,2026-04-17,2026-04-17
2026-04-17 07:29:11+00:00,Refurb Unlocked Apple iPhone 14 128GB Smartphone for $259 + free shipping,"Walmart offers the Refurb Unlocked Apple iPhone 14 128GB Smartphone for $259. That's a savings of $371. Plus, shipping is free. Buy Now at Walmart",Dealnews.com,https://www.dealnews.com/Refurb-Unlocked-Apple-iPhone-14-128-GB-Smartphone-for-259-free-shipping/21822468.html,AAPL,2026-04-17,2026-04-17
2026-04-17 07:20:00+00:00,Not Anderson or Baleba: Journo discloses Jan talks between Man Utd and player who ‘dreams’ of playing at Old Trafford,"Manchester United reportedly held initial talks with transfer target Tyler Adams back in the January window, according to Ben Jacobs.However, they did so with the intention of adding him to the ranks ...",Strettynews.com,https://strettynews.com/2026/04/17/manchester-united-alex-scott-bournemouth-transfer-talks-january/,AAPL,2026-04-17,2026-04-17
2026-04-17 07:15:00+00:00,"Poppi’s cofounder pitched her startup on Shark Tank while 9 months pregnant and landed a $400,000 deal—now it’s worth $2 billion",Poppi cofounder Allison Ellsworth’s 2018 Shark Tank pitch helped catapult the brand into beverage fame.,Fortune,https://fortune.com/2026/04/17/poppi-cofounder-allison-ellsworth-shark-tank-pitch-while-pregnant-2-billion-dollar-brand/,AAPL,2026-04-17,2026-04-17
2026-04-17 07:11:43+00:00,"Fed chair, health care, and AI shoe repair : The Indicator from Planet Money",It’s Indicators of the Week. Our weekly look at some of the most fascinating economic numbers from the news. On today’s episode: the drama behind the Fed Chair nominee’s wealth; the shoe company Allbirds is becoming an AI firm; and a drop in how many people a…,NPR,https://www.npr.org/2026/04/17/nx-s1-5787854/fed-chair-health-care-and-ai-shoe-repair,AAPL,2026-04-17,2026-04-17
2026-04-17 07:07:01+00:00,vmlx 1.3.61,"Local AI inference for Apple Silicon — Text, Image, Video & Audio generation on Mac",Pypi.org,https://pypi.org/project/vmlx/1.3.61/,AAPL,2026-04-17,2026-04-17
2026-04-17 07:05:00+00:00,‘Excellent servant’ – Liverpool stalwart tipped for summer exit,"A season that promised so much has drifted into uncertainty, and now our longest-serving player, Joe Gomez, is being linked with a potential exit as Liverpool prepare for a pivotal summer.DOWNLOAD THE...",Empire of The Kop,https://www.empireofthekop.com/2026/04/17/excellent-servant-liverpool-stalwart-tipped-for-summer-exit/,AAPL,2026-04-17,2026-04-17
2026-04-17 07:05:00+00:00,For All Mankind season 5 Episode 4 review: The show's penultimate season goes from strength to strength,"Apple TV's underrated space opera For All Mankind drops another incredible installment with ""Open Source.""",Winter is Coming,https://winteriscoming.net/for-all-mankind-season-5-episode-4-review,AAPL,2026-04-17,2026-04-17
2026-04-17 07:01:00+00:00,"For All Mankind Season 5, Episode 4 Review - “Open Source”",,IGN,https://www.ign.com/articles/for-all-mankind-season-5-episode-4-open-source-review-recap,AAPL,2026-04-17,2026-04-17
2026-04-17 07:00:01+00:00,The iPhone Air 2 Might Actually Be Apple’s Most Perfect Design Yet,"Apple’s iPhone Air 2 represents a bold evolution in smartphone design, combining ultra-thin aesthetics with advanced functionality. Building on the foundation of its predecessor, this model addresses previous limitations while introducing meaningful upgrades.…",Geeky Gadgets,https://www.geeky-gadgets.com/iphone-air-2-design/,AAPL,2026-04-17,2026-04-17
2026-04-17 07:00:00+00:00,Intel's New Core Series 3 Is Its Answer To the MacBook Neo,"Intel has launched a new budget-focused Core Series 3 processor line for lower-cost laptops -- ""Intel's response to budget CPUs that are appearing in laptops like the Apple MacBook Neo,"" writes PCWorld's Mark Hachman. From the report: Intel unexpectedly launc…",Slashdot.org,https://apple.slashdot.org/story/26/04/17/0336256/intels-new-core-series-3-is-its-answer-to-the-macbook-neo,AAPL,2026-04-17,2026-04-17
2026-04-17 07:00:00+00:00,Monarch: Legacy of Monsters season 2 Episode 8 review: 'Separate Ways',"Despite another strong episode, the weaknesses of Monarch: Legacy of Monsters season 2 as a whole are starting to intrude upon even the show's greatest accomplishments.",Winter is Coming,https://winteriscoming.net/monarch-legacy-of-monsters-season-2-episode-8-review-separate-ways,AAPL,2026-04-17,2026-04-17
2026-04-17 07:00:00+00:00,Decoder Ring - One Year: 1995 | Hitting the Spot,"Last week we aired an episode about lonelygirl15, one of the first proper YouTube stars, and perhaps the most famous example of playing around with the boundaries of fiction and truth on the internet. But it was not the first. In 1995, aspiring filmmakers cre…",Acast.com,https://shows.acast.com/decoder-ring/episodes/one-year-1995-hitting-the-spot,AAPL,2026-04-17,2026-04-17
2026-04-17 07:00:00+00:00,"What Next: TBD | Tech, power, and the future - Everyone Is Lying to You For Money","Back in the depths of the pandemic, what was an actor to do? Ben McKenzie started looking into cryptocurrency—and his research yielded both a book and a new documentary. The works are both non-fiction, which is more than McKenzie can say for crypto.Guest: Ben…",Acast.com,https://shows.acast.com/whatnext-tbd-tech-power-and-the-future/episodes/everyone-is-lying-to-you-for-money,AAPL,2026-04-17,2026-04-17
2026-04-17 07:00:00+00:00,Culture Gabfest - Richard Pryor: The Truth Teller Who Changed Comedy Forever | From Big Lives,"Richard Pryor redefined comedy by telling the truth, even when it scorched him.Today, we’re sharing a preview of a new podcast, Big Lives, and a special episode about Pryor.Every week, hosts Kai Wright and Emmanuel Dzotsi dig into the BBC archive to explore t…",Acast.com,https://shows.acast.com/culture-gabfest/episodes/richard-pryor-the-truth-teller-who-changed-comedy-forever-fr,AAPL,2026-04-17,2026-04-17
2026-04-17 06:40:39+00:00,caseplayから2026年で連載40周年＆アニメ放送10周年となる『ぼのぼの』のオフィシャルスマートフォンケースが登場！,"[株式会社FOX]
[画像1: https://prcdn.freetls.fastly.net/release_image/58495/782/58495-782-7fc528c5fdaed9c75f38be1e65ee679c-1600x880.jpg?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&a...",Prtimes.jp,https://prtimes.jp/main/html/rd/p/000000782.000058495.html,AAPL,2026-04-17,2026-04-17
2026-04-17 06:38:33+00:00,OpenAI’s Codex can now control your Mac apps,"ChatGPT is making its Codex app for Mac far more capable, with support for background computer use, smarter automations and deeper app integrations.
(via Cult of Mac - Your source for the latest Apple news, rumors, analysis, reviews, how-tos and deals.)",Cult of Mac,https://www.cultofmac.com/news/openais-codex-can-now-control-mac-apps,AAPL,2026-04-17,2026-04-17
2026-04-17 06:36:40+00:00,Putting the Calamity Makers in Charge: Anthropic and Claude Mythos Preview,"Be wary of a company – any company – who exerts moral muscle as they create software and digital platforms that are injurious and simultaneously lauded for curing that injury. Be especially wary of Anthropic. With sagacious loftiness, it warns …
The post Putt…",Globalresearch.ca,https://www.globalresearch.ca/anthropic-claude-mythos-preview/5922842,AAPL,2026-04-17,2026-04-17
2026-04-17 06:30:41+00:00,"Apple's iPhone shipments in China surge 20% in Q1, data shows","Apple's iPhone shipments surged 20% in China in the first quarter, for the strongest ‌growth among major vendors, despite an overall decline as rising prices ‌...",Yahoo Entertainment,https://finance.yahoo.com/markets/stocks/articles/apples-iphone-shipments-china-surge-063041671.html,AAPL,2026-04-17,2026-04-17
2026-04-17 06:30:37+00:00,Forget Third-Party Apps: 25 Built-In Mac Tricks You Need to Use in 2026,"Maximizing productivity on macOS doesn’t have to be overwhelming. With the right strategies and tools, you can streamline your workflow, save time, and accomplish more. The awesome video below from Stephen Robles provides 25 actionable tips to help you unlock…",Geeky Gadgets,https://www.geeky-gadgets.com/mac-productivity-tips-2026/,AAPL,2026-04-17,2026-04-17
2026-04-17 06:30:01+00:00,"What channel is Pirates vs. Rays on today? Time, TV schedule, live stream to watch MLB Friday Night Baseball game",Here's where to watch as Pittsburgh and Tampa Bay begin a weekend series.,Sporting News,https://www.sportingnews.com/us/mlb/news/pirates-rays-channel-time-schedule-live-stream-friday/3d9ee0fc7e6f15ac2df7339b,AAPL,2026-04-17,2026-04-17
2026-04-17 06:16:52+00:00,Marlow: How the Iran War Led to the (Likely) Downfall of Saudi-Backed LIV Golf Tour,"Thursday on “The Alex Marlow Show,” host and Breitbart Editor-in-Chief Alex Marlow talked about LIV. Marlow said, “With Iran having actually bombed Saudi Arabia, and in the aftermath of the US’s attack on Iran over the last seven weeks and
The post Marlow: Ho…",Breitbart News,https://www.breitbart.com/clips/2026/04/16/marlow-how-the-iran-war-led-to-the-likely-downfall-of-saudi-backed-liv-golf-tour/,AAPL,2026-04-17,2026-04-17
2026-04-17 06:16:17+00:00,ATF Report on Charlie Kirk Murder Ammo Devastating to Conspiracy Theorists,"Thursday on “The Alex Marlow Show,” host and Breitbart Editor-in-Chief Alex Marlow talked about the Charlie Kirk case. Marlow said, “A lot of the conspiracy theories that are put out about Charlie Kirk’s murder online, this is a big dagger
The post ATF Report…",Breitbart News,https://www.breitbart.com/clips/2026/04/16/atf-report-on-charlie-kirk-murder-ammo-devastating-to-conspiracy-theorists/,AAPL,2026-04-17,2026-04-17
2026-04-17 06:16:15+00:00,"Marlow: We Must Stop GOP Establishment, Donor Class ‘DIGNIDAD Act’ Amnesty Push","Thursday on “The Alex Marlow Show,” host and Breitbart Editor-in-Chief Alex Marlow talked about immigration. Marlow said, “This is all dressed up to try to get more amnesty for illegal aliens because there’s a deep concern from the donor class
The post Marlow…",Breitbart News,https://www.breitbart.com/clips/2026/04/16/marlow-we-must-stop-gop-establishment-donor-class-dignidad-act-amnesty-push/,AAPL,2026-04-17,2026-04-17
2026-04-17 06:15:00+00:00,David Ornstein issues definitive transfer claim over ‘phenomenal’ Man Utd target amid ‘fresh talks’,David Ornstein has confirmed that Nottingham Forest will demand a record transfer fee for a midfielder when Elliot Anderson leaves the club this summer.While it’s not set in stone that he will be on...,Strettynews.com,https://strettynews.com/2026/04/17/david-ornstein-elliot-anderson-manchester-united-nottingham-forest/,AAPL,2026-04-17,2026-04-17
2026-04-17 06:15:00+00:00,Why Your iPad Needs 20% Free Space to Run Smoothly,"Efficiently managing your iPad’s storage is essential for maintaining its performance and avoiding frustrating slowdowns. With iPadOS 26, Apple provides a detailed breakdown of storage usage through the iPad Storage menu, where categories like apps, photos an…",Geeky Gadgets,https://www.geeky-gadgets.com/fix-full-ipad-storage/,AAPL,2026-04-17,2026-04-17
2026-04-17 06:13:00+00:00,Lab: Integrated Routing and Bridging (IRB) with EVPN MAC-VRF Instances,"Most EVPN documentation rushes into the complexities of symmetric IRB, type-5 EVPN routes, and EVPN IP-VRFs, but if you want to master a technology, it’s better to take it slow and proceed with small steps. In today’s lab exercise, we’ll do just that: explore…",Ipspace.net,https://blog.ipspace.net/2026/04/lab-evpn-irb/,AAPL,2026-04-17,2026-04-17
2026-04-17 06:02:05+00:00,Cybersecurity researcher uncovers fake Ledger sold on Chinese marketplace,The researcher said they examined the fake Ledger device’s firmware and found signs pointing to a Chinese semiconductor company named Espressif Systems.,Cointelegraph,https://cointelegraph.com/news/fake-ledger-device-sold-chinese-market-place,AAPL,2026-04-17,2026-04-17
2026-04-17 06:00:36+00:00,How Big Tech wrote secrecy into EU law to hide data centres’ environmental toll,A cross-border investigation has revealed how industry lobbying is shaping data centre regulation in the EU.,TheJournal.ie,https://www.thejournal.ie/investigates-data-centre-confidential-lobbying-7013368-Apr2026/,AAPL,2026-04-17,2026-04-17
