published_at,title,description,source,url,ticker,date,market_date
2026-04-17 07:30:24+00:00,Intel Arc GPU Graphics Drivers 101.8724 WHQL Released,"Intel today released its latest Arc GPU graphics drivers with the version 101.8724 WHQL bringing support for new hardware and new games. Yesterday, the company launched its Core Series 3 ""Wildcat Lake"" processors with up to six CPU cores and two Xe3 GPU cores…",Techpowerup.com,https://www.techpowerup.com/348304/intel-arc-gpu-graphics-drivers-101-8724-whql-released,MSFT,2026-04-17,2026-04-17
2026-04-17 07:11:14+00:00,puzzel-sms-gateway-client 3.0.1,Puzzel SMS Gateway Python Client (Kiota-generated),Pypi.org,https://pypi.org/project/puzzel-sms-gateway-client/,MSFT,2026-04-17,2026-04-17
2026-04-17 07:11:00+00:00,Inside Project Helix: Microsoft’s Console-PC Hybrid Coming In 2027,"Microsoft’s announcement of Project Helix introduces a hybrid system that merges console and PC gaming into a unified platform. Set for release in late 2027, this next-generation Xbox features a custom AMD chipset that incorporates DirectX’s latest graphics A…",Geeky Gadgets,https://www.geeky-gadgets.com/microsoft-project-helix-xbox-pc-hybrid/,MSFT,2026-04-17,2026-04-17
2026-04-17 07:07:54+00:00,microsoft-agent 0.2.56,Microsoft Graph Agent MCP Server,Pypi.org,https://pypi.org/project/microsoft-agent/0.2.56/,MSFT,2026-04-17,2026-04-17
2026-04-17 07:03:11+00:00,AXT Inc Stock Soars 30% to $81.78 on AI Hype but Faces Analyst Warnings to Sell in 2026,"NEW YORK — AXT Inc. shares exploded higher Thursday, surging nearly 30% to close at $81.78 after a volatile session that saw the stock swing from $59.30 to an intraday high of $82.19, as momentum traders piled into the compound semiconductor maker amid broade…",Ibtimes.com.au,https://www.ibtimes.com.au/axt-inc-stock-soars-30-8178-ai-hype-faces-analyst-warnings-sell-2026-1866803,MSFT,2026-04-17,2026-04-17
2026-04-17 07:01:51+00:00,"Jesperi Kotkaniemi Details Frustration with Hurricanes Coaching, Role in New Interview","Jesperi Kotkaniemi is not happy with the Carolina Hurricanes. It comes as little surprise, as for the first time in […]",Sportsnaut,https://sportsnaut.com/nhl/carolina-hurricanes/jesperi-kotkaniemi-details-frustration-with-hurricanes-coaching-role-in-new-interview/,MSFT,2026-04-17,2026-04-17
2026-04-17 06:54:00+00:00,AWS Launches Agent Registry in Preview to Govern AI Agent Sprawl Across Enterprises,"AWS released Agent Registry in preview as part of Amazon Bedrock AgentCore, providing a centralized catalog for discovering, governing, and reusing AI agents, tools, and MCP servers across organizations. The registry indexes agents regardless of where they ru…",InfoQ.com,https://www.infoq.com/news/2026/04/aws-agent-registry-preview/,MSFT,2026-04-17,2026-04-17
2026-04-17 06:54:00+00:00,AWS Launches Agent Registry in Preview to Govern AI Agent Sprawl Across Enterprises,"AWS released Agent Registry in preview as part of Amazon Bedrock AgentCore, providing a centralized catalog for discovering, governing, and reusing AI agents, tools, and MCP servers across organizations. The registry indexes agents regardless of where they ru…",InfoQ.com,https://www.infoq.com/news/2026/04/aws-agent-registry-preview/,MSFT,2026-04-17,2026-04-17
2026-04-17 06:50:03+00:00,"OpenAI Updates Codex With Computer Use, In-App Browser, Memory, and 90-Plus New Plugins","OpenAI has released a significant update to Codex, introducing features such as background computer use, an in-app browser, image generation, memory, expanded a
Thank you for being a Ghacks reader. The post OpenAI Updates Codex With Computer Use, In-App Brows…",Ghacks Technology News,https://www.ghacks.net/2026/04/17/openai-updates-codex-with-computer-use-in-app-browser-memory-and-90-plus-new-plugins/,MSFT,2026-04-17,2026-04-17
2026-04-17 06:41:22+00:00,opencollab-mcp added to PyPI,AI-powered open source contribution matchmaker — finds perfect 'good first issues' matched to YOUR skills,Pypi.org,https://pypi.org/project/opencollab-mcp/,MSFT,2026-04-17,2026-04-17
2026-04-17 06:38:33+00:00,OpenAI’s Codex can now control your Mac apps,"ChatGPT is making its Codex app for Mac far more capable, with support for background computer use, smarter automations and deeper app integrations.
(via Cult of Mac - Your source for the latest Apple news, rumors, analysis, reviews, how-tos and deals.)",Cult of Mac,https://www.cultofmac.com/news/openais-codex-can-now-control-mac-apps,MSFT,2026-04-17,2026-04-17
2026-04-17 06:30:53+00:00,"Stellantis, Microsoft ink five-year deal to scale AI, cybersecurity","Stellantis and Microsoft announced a five-year strategic partnership on April 16 to co-develop AI, cybersecurity, and engineering capabilities.",Digitimes,https://www.digitimes.com/news/a20260417VL217/stellantis-microsoft-partnership-automotive-ai-cybersecurity.html,MSFT,2026-04-17,2026-04-17
2026-04-17 06:14:52+00:00,Recently leaked Windows zero-days now exploited in attacks,Threat actors are exploiting three recently disclosed Windows security vulnerabilities in attacks aimed at gaining SYSTEM or elevated administrator permissions. [...],BleepingComputer,https://www.bleepingcomputer.com/news/security/recently-leaked-windows-zero-days-now-exploited-in-attacks/,MSFT,2026-04-17,2026-04-17
2026-04-17 06:07:00+00:00,"AI, energy, and the new rules of cloud sustainability competition","AI has made cloud infrastructure core to enterprise architecture – more valuable, strategic, and resource-intensive. It has also made vague sustainability claims less defensible",ComputerWeekly.com,https://www.computerweekly.com/opinion/AI-energy-and-the-new-rules-of-cloud-sustainability-competition,MSFT,2026-04-17,2026-04-17
2026-04-17 06:06:31+00:00,Sales Executive ? Art & Design,"Key Responsibilities:
<ul><li>Communicate with potential and existing clients through calls, email, WhatsApp, and meetings.</li><li>Understand client requirements and recommend suitable art products/services.</li><li>Generate leads, follow up regularly, and …",Behance.net,https://www.behance.net/joblist/348521/Sales-Executive-Art-Design,MSFT,2026-04-17,2026-04-17
2026-04-17 06:05:26+00:00,What Is OpenClaw? The AI Agent Taking Over the Internet in 2026,"What is OpenClaw? The open-source AI agent with 350,000+ GitHub stars that executes real tasks — not just answers questions. Full plain-English explainer for 2026.",Smashingapps.com,https://www.smashingapps.com/what-is-openclaw/,MSFT,2026-04-17,2026-04-17
2026-04-17 06:00:36+00:00,How Big Tech wrote secrecy into EU law to hide data centres’ environmental toll,A cross-border investigation has revealed how industry lobbying is shaping data centre regulation in the EU.,TheJournal.ie,https://www.thejournal.ie/investigates-data-centre-confidential-lobbying-7013368-Apr2026/,MSFT,2026-04-17,2026-04-17
2026-04-17 05:14:03+00:00,Show HN: Amazon Reviews Extractor,"Amazon Reviews Extractor – Export Amazon Product Reviews Instantly for Research & Analysis

Comments URL: https://news.ycombinator.com/item?id=47802633
Points: 1
# Comments: 0",Google News,https://chromewebstore.google.com/detail/amazon-reviews-extractor/maccgnaehlolfonlnplblgpippnhmoal,MSFT,2026-04-17,2026-04-17
2026-04-17 05:13:29+00:00,Microsoft Warns PC Users—New Windows Update May Lock You Out,Do not update your Windows PC until you check Microsoft's new warning.,Forbes,https://www.forbes.com/sites/zakdoffman/2026/04/17/microsoft-warns-pc-users-new-windows-update-may-lock-you-out/,MSFT,2026-04-17,2026-04-17
2026-04-17 05:10:49+00:00,"Downloaded bad .msi file, did not run it, help needed with Farbar Recovery Scan","Downloaded bad .msi file, did not run it, help needed with Farbar Recovery Scan - posted in Virus, Trojan, Spyware, and Malware Removal Help: I accidentally opened an email about an RSVP invite that turned out to be malicious. It downloaded a .msi file, which…",BleepingComputer,https://www.bleepingcomputer.com/forums/t/815523/downloaded-bad-msi-file-did-not-run-it-help-needed-with-farbar-recovery-scan/,MSFT,2026-04-17,2026-04-17
2026-04-17 05:00:00+00:00,Is America on the Verge of a Nuclear Renaissance?,It has been more than seven years since President Donald Trump signed the Nuclear Energy Innovation and Modernization Act (NEIMA) into law – and it has taken all seven years (including four during the Biden Administration) for the Nuclear Regulatory Commissio…,Wattsupwiththat.com,https://wattsupwiththat.com/2026/04/16/is-america-on-the-verge-of-a-nuclear-renaissance/,MSFT,2026-04-17,2026-04-17
2026-04-17 04:56:00+00:00,Welcome to agentic AI. Welcome to per-agent licensing,"Microsoft seems to have a new wheeze: Charging per-agent. Having made Copilot pervasive in the Microsoft stack, it looks like customers may face per-agent billing",ComputerWeekly.com,https://www.computerweekly.com/opinion/Welcome-to-agentic-AI-Welcome-to-per-agent-licensing,MSFT,2026-04-17,2026-04-17
2026-04-17 04:35:46+00:00,Cisco Wi-Fi boxes are filling their disks with 5MB of undeletable data every day,"Fix for critical flaw is an OS update you may not be able to make because the junk data uses all memory More than 230 different models of Cisco Wi-Fi access points may be writing 5MB a day of nonessential data, filling their onboard flash memory to the point …",Theregister.com,https://www.theregister.com/2026/04/17/cisco_wifi_ap_useless_data/,MSFT,2026-04-17,2026-04-17
2026-04-17 04:04:33+00:00,Amazon is discontinuing Kindle for PC on June 30th,"Amazon is shuttering Kindle for PC in June and releasing a new standalone app only compatible with Windows 11.
The post Amazon is discontinuing Kindle for PC on June 30th first appeared on Good e-Reader.",Goodereader,https://goodereader.com/blog/kindle/amazon-is-discontinuing-kindle-for-pc-on-june-30th,MSFT,2026-04-17,2026-04-17
2026-04-17 02:54:19+00:00,Exe file from discord putting malware on device,"Exe file from discord putting malware on device - posted in Virus, Trojan, Spyware, and Malware Removal Help: 
I clicked on a file from a friends hacked account that installed malware on my device. It stole my cookies, discord token and email password. I have…",BleepingComputer,https://www.bleepingcomputer.com/forums/t/815521/exe-file-from-discord-putting-malware-on-device/,MSFT,2026-04-17,2026-04-17
2026-04-17 02:24:42+00:00,Computer Infected by game file over discord,"Computer Infected by game file over discord - posted in Virus, Trojan, Spyware, and Malware Removal Help: I ran an exe file from someone who had been hacked over discord. Stole my token, cleared freinds and stole passwords/cookie data. Need to remove the rema…",BleepingComputer,https://www.bleepingcomputer.com/forums/t/815515/computer-infected-by-game-file-over-discord/,MSFT,2026-04-17,2026-04-17
2026-04-17 01:00:51+00:00,I found the apps slowing down my PC - how to kill the biggest memory hogs,'SysMain' was draining my computer's background memory. Here's how to find the biggest culprits behind your sluggish PC.,ZDNet,https://www.zdnet.com/article/apps-slowing-my-pc-how-to-kill-memory-hogs/,MSFT,2026-04-17,2026-04-17
2026-04-17 00:57:00+00:00,CFTC Chairman Says AI Helps Agency Run More Like a Business,"The Commodity Futures Trading Commission (CFTC) is using artificial intelligence to boost efficiency, CFTC Chairman Michael S. Selig told a congressional committee Thursday (April 16). Speaking during a House Committee on Agriculture hearing, Selig said AI is…",pymnts.com,https://www.pymnts.com/news/regulation/2026/cftc-chairman-says-ai-helps-agency-run-more-like-a-business/,MSFT,2026-04-17,2026-04-17
2026-04-17 00:55:19+00:00,"Oh, but there’s one more thing",The value of design in the AI era,Uxdesign.cc,https://uxdesign.cc/oh-but-theres-one-more-thing-edb9fbd79c95,MSFT,2026-04-17,2026-04-17
2026-04-17 00:00:00+00:00,Confidential Containers workshop on Microsoft Azure Red Hat OpenShift: Learn interactively,"Confidential computing is a complex topic, and often requires a deep understanding of hardware, kernel, and orchestration layers. The generic definition is ""protecting data in use,"" but it's more than that. It's about verifying that the environment we are run…",Redhat.com,https://www.redhat.com/en/blog/confidential-containers-workshop-microsoft-azure-red-hat-openshift-learn-interactively,MSFT,2026-04-17,2026-04-17
2026-04-17 00:00:00+00:00,ThroughLine: The Taranaki start-up assisting AI firms with crisis helplines worldwide,"Google, ChatGPT maker OpenAI and Claude maker Anthropic are among those on board.",New Zealand Herald,https://www.nzherald.co.nz/business/throughline-the-taranaki-start-up-helping-ai-firms-with-crisis-helplines-worldwide/premium/E7HEOCVURRFBHLG4SRR6FPDZJU/,MSFT,2026-04-17,2026-04-17
2026-04-17 00:00:00+00:00,SageMaker JumpStart now offers optimized deployments for foundation models,"SageMaker JumpStart now offers optimized deployments, enabling customers to deploy foundation models with pre-configured settings tailored to specific use cases and performance constraints. SageMaker JumpStart optimized deployments simplify model deployment b…",Amazon.com,https://aws.amazon.com/about-aws/whats-new/2026/04/sagemaker-jumpstart-optimized-deployments/,MSFT,2026-04-17,2026-04-17
2026-04-17 00:00:00+00:00,OpenAI Wants Codex to Do Almost Everything — Not Just Code,"OpenAI's Codex evolves beyond coding to a general AI agent, automating tasks across apps and workflows. It's becoming a 'command center' for AI agents.",C-sharpcorner.com,https://www.c-sharpcorner.com/news/openai-wants-codex-to-do-almost-everything-not-just-code,MSFT,2026-04-17,2026-04-17
2026-04-16 23:36:04+00:00,"Microsoft to invest more into Xbox than ever before, new CEO Asha Sharma tells employees","Xbox's new CEO Asha Sharma shares plans for the future of the brand, indicating that more major investment in engineering frameworks will be made.Continue reading at TweakTown",TweakTown,https://www.tweaktown.com/news/111082/microsoft-to-invest-more-into-xbox-than-ever-before-new-ceo-asha-sharma-tells-employees/index.html,MSFT,2026-04-16,2026-04-17
2026-04-16 23:09:06+00:00,New Position: This Serial Acquirer is Only Getting Bigger as Health Regulation Increases,New Position: This Serial Acquirer is Only Getting Bigger as Health Regulation Increasessubstack.com,Substack.com,https://qualitystocks.substack.com/p/new-position-this-serial-acquirer,MSFT,2026-04-16,2026-04-17
2026-04-16 23:06:25+00:00,Visio Professional 2024 1-Device Download for Windows for $49 + digital download,"DailySteals offers the Visio Professional 2024 1-Device Download for Windows for $48.99 after coupon code ""VPW6"". That's $11 less than you'd pay for a 1-year subscription from Microsoft. This is a lifetime license. Deal ends April 28. Buy Now at dailysteals
…",Dealnews.com,https://www.dealnews.com/Visio-Professional-2024-1-Device-Download-for-Windows-for-49-digital-download/21822451.html,MSFT,2026-04-16,2026-04-17
2026-04-16 23:05:14+00:00,Computer has pop ups,"Computer has pop ups - posted in Anti-Virus, Anti-Malware, and Privacy Software: Good day, 
 
My son installed something on his computer and now he is getting pop ups. I tried downloading some tools to clean them up and its work to a point but there are still…",BleepingComputer,https://www.bleepingcomputer.com/forums/t/815512/computer-has-pop-ups/,MSFT,2026-04-16,2026-04-17
